obj_url,output format
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_op_flights.fex,Image
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Utility_Procedures/bi_tool_dimensions_load.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Utility_Procedures/bi_tool_guided_metrics.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Utility_Procedures/bi_tool_target_metrics.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Utility_Procedures/cnx_activity_data_pull.fex,N/A
/ac_ops_11/procedures/common_dates_ibi.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_irrop.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_realtime_cached.fex,Web
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_realtime_cached.fex,Image
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_targets.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/bi_self_serve_connecting_flights.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/self_serve_pax_fcst_NEW.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/bi_int_summary_report.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/jazz_report_cnl_flight_analysis.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/jazz_report_cpa_flt_comp.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/jazz_report_regn_stn_perf.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/jazz_billing_report.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/cnx_activity_rebuild.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/deicing_daily_flt_list_stn.fex,PDF
/ac_ops_11/OPS/Applications/OPS_BI_Tool/General/scheduled_flight_summary_report.fex,Excel/CSV
