Artifact Group ID,Interdependency Group ID
2,1
3,1
126,1
4,1
69,1
8,1
13,1
15,1
16,1
21,1
24,1
57,1
59,1
138,1
80,1
81,1
83,1
87,1
89,1
90,1
94,1
95,1
107,1
108,1
129,1
142,1
133,1
140,1
141,1
144,1
147,1
148,1
151,1
154,1
155,1
163,1
166,1
168,1
171,1
173,1
182,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
193,1
120,1
52,1
70,1
9,1
10,1
11,1
20,1
178,1
12,1
78,1
79,1
183,1
92,1
22,1
23,1
61,1
62,1
63,1
64,1
65,1
172,1
149,1
66,1
88,1
91,1
97,1
98,1
125,1
132,1
158,1
32,2
34,2
31,2
170,2
53,2
68,2
26,2
33,2
50,2
45,3
44,3
43,3
46,3
74,4
76,4
75,4
77,4
109,5
55,5
19,5
114,6
113,6
116,6
