Report Name,Object URL,Include Type,group_id,is duplicate,report_output_fmt,ac_report_type
Operated Flights (OPS BI Tool Report),/output/OPS_BI_Tool/bi_self_serve_op_flights.fex,N,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_dimensions_load.fex,Y,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output//home/BuildScanDirectory/ops/WFC/Repository/Ops_Analytics/~tp038123/bi_tool_dimensions_load.fex,Y,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_guided_metrics.fex,N,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_target_metrics.fex,N,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/cnx_activity_data_pull.fex,N,2,N,"HTML Document, or Excel Document",Report
Operated Flights (OPS BI Tool Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,2,N,"HTML Document, or Excel Document",Report
IRROP (OPS BI Tool Report),/output/OPS_BI_Tool/bi_self_serve_irrop.fex,N,3,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_BI_Tool/bi_self_serve_realtime_cached.fex,N,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_dimensions_load.fex,Y,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output//home/BuildScanDirectory/ops/WFC/Repository/Ops_Analytics/~tp038123/bi_tool_dimensions_load.fex,Y,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data.fex,Y,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_guided_metrics.fex,N,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/bi_tool_target_metrics.fex,N,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output/OPS_BI_Tool/Utility_Procedures/cnx_activity_data_pull.fex,N,4,N,"HTML Document, or Excel Document",Report
Real-Time (OPS BI Tool Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,4,N,"HTML Document, or Excel Document",Report
BI Targets (OPS BI Tool Report),/output/OPS_BI_Tool/bi_self_serve_targets.fex,N,5,N,"HTML Document, or Excel Document",Report
Connecting Flights (OPS BI Tool Report),/output/OPS_BI_Tool/bi_self_serve_connecting_flights.fex,N,6,N,"HTML Document, or Excel Document",Report
Passenger Forecast (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/self_serve_pax_fcst_NEW.fex,N,7,N,Excel Document,Report
AC/ACr International Summary (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/bi_int_summary_report.fex,N,8,N,Excel Document,Report
AC/ACr International Summary (General Report - OPS BI Tool Canned Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,8,N,Excel Document,Report
Jazz Report Cancel Flight Analysis (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/jazz_report_cnl_flight_analysis.fex,N,9,N,Excel Document,Report
Jazz Report CPA Flight Completion (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/jazz_report_cpa_flt_comp.fex,N,10,N,Excel Document,Report
Jazz Report Regional Station Summary (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/jazz_report_regn_stn_perf.fex,N,11,N,Excel Document,Report
Jazz Billing Report (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/jazz_billing_report.fex,N,12,N,Excel Document,Report
Connection Activity Report (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/cnx_activity_rebuild.fex,N,13,N,Excel Document,Report
Connection Activity Report (General Report - OPS BI Tool Canned Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,13,N,Excel Document,Report
Deice Control Records (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/deicing_daily_flt_list_stn.fex,N,14,N,PDF Document,Report
Scheduled Flight Summary Report (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/scheduled_flight_summary_report.fex,N,15,N,Excel Document,Report
Scheduled Flight Summary Report (General Report - OPS BI Tool Canned Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,15,N,Excel Document,Report
Ground Handler Invoice Validation Report (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/GH_Invoice_Validation_2.fex,N,16,N,Excel Document,Report
Ground Handler Invoice Validation Report (General Report - OPS BI Tool Canned Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,16,N,Excel Document,Report
Scheduled Flights Extract (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/Scheduled_Flights_Extract.fex,N,17,N,Excel Document,Report
Flight Delay Forecast Report (General Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/General/Flight_Delay_Forecast.fex,N,18,N,Excel Document,Report
OMI Summary Report (ACM Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/ACM/acm_omi_summary_report.fex,N,19,N,Excel Document,Report
Baggage Tag In Sequence Report (Baggage Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/Baggage/baggage_in_sequence_report.fex,N,20,N,nan,Report
Employee Search by Day Scanner (Baggage Report - OPS BI Tool Canned Report),/output/OPS_BI_Tool/Baggage/Employee_Search_by_Day_Scanner.fex,N,21,N,nan,Report
Employee Search by Day Scanner (Baggage Report - OPS BI Tool Canned Report),/output//home/BuildScanDirectory/ops/EDA/EDASERVE/ops_analytics/procedures/common_dates_ibi.fex,N,21,N,nan,Report
