master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
B777AIMS_DATA_20240311,output\EDA\EDASERVE\ops_analytics\b777aims_data_20240311.mas,,,,
RSI_SECTION,output\EDA\EDASERVE\ops_analytics\rsi_section.mas,,,,
DX_COLLAB_TOOL_STORE,output\EDA\EDASERVE\ops_analytics\apps\dx_collaboration_tool\dx_collab_tool_store.mas,DX_Collab_Tool.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\DX_Collaboration_Tool\DX_Collab_Tool.fex,,
BI_ACM_LOCATIONS_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_acm_locations_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_ACM_LOCATIONS_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_acm_locations_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_ACM_STATIONS_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_acm_stations_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_ACM_STATIONS_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_acm_stations_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_CARRIERCDE_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_carriercde_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_CARRIERCDE_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_carriercde_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_CARRIERNME_FLTGRP_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_carriernme_fltgrp_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
