report_name,obj_url
Operated Flights (OPS BI Tool Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/bi_self_serve_op_flights.fex
IRROP (OPS BI Tool Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/bi_self_serve_irrop.fex
Real-Time (OPS BI Tool Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/bi_self_serve_realtime_cached.fex
BI Targets (OPS BI Tool Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/bi_self_serve_targets.fex
Connecting Flights (OPS BI Tool Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/bi_self_serve_connecting_flights.fex
Passenger Forecast (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/self_serve_pax_fcst_NEW.fex
AC/ACr International Summary (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/bi_int_summary_report.fex
Jazz Report Cancel Flight Analysis (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/jazz_report_cnl_flight_analysis.fex
Jazz Report CPA Flight Completion (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/jazz_report_cpa_flt_comp.fex
Jazz Report Regional Station Summary (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/jazz_report_regn_stn_perf.fex
Jazz Billing Report (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/jazz_billing_report.fex
Connection Activity Report (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/cnx_activity_rebuild.fex
Deice Control Records (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/deicing_daily_flt_list_stn.fex
Scheduled Flight Summary Report (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/scheduled_flight_summary_report.fex
Ground Handler Invoice Validation Report (General Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/General/GH_Invoice_Validation_2.fex
